Overall Satisfaction,Attribute 00,Attribute 01,Attribute 02,Attribute 03,Attribute 04,Attribute 05,Attribute 06,Attribute 07,Attribute 08,Attribute 09,Attribute 10,Attribute 11,Attribute 12,Attribute 13,Attribute 14,Attribute 15,Attribute 16,Attribute 17,Attribute 18,Attribute 19,Weight
9,9,9,9,9,9,9,9,9,8,8,8,8,8,9,8,9,8,9,9,8,0.1025741
8,9,10,7,10,8,8,9,8,7,7,6,7,8,7,7,8,7,9,9,6,0.667196787
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,9,0.172969132
10,10,10,10,10,,,,,,,,,,,,,,,,,0.046227453
7,7,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,5,7,7,5,0.022144729
7,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8,8,5,8,8,5,0.122821121
6,7,7,7,10,7,9,10,8,7,8,8,7,8,8,5,8,3,7,8,5,0.839896599
9,9,10,8,10,9,9,10,10,9,10,7,8,9,10,10,10,7,10,10,9,0.303979279
8,6,8,9,10,8,7,9,9,8,8,9,8,8,8,7,8,4,7,8,4,0.079476933
9,9,9,9,10,,,,,,,,,,,,,,,,,0.579046025
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,10,10,8,0.35885322
8,9,10,9,10,8,8,7,8,8,8,8,4,8,8,8,9,9,9,9,9,0.007246035
3,2,3,3,9,7,8,10,10,6,6,7,5,7,9,7,10,7,8,1,8,0.514971122
8,8,8,6,10,8,8,7,8,6,8,7,6,7,9,8,9,8,9,8,6,0.195878381
5,5,5,5,9,6,8,9,9,8,8,8,8,8,7,5,8,4,8,7,5,0.646615637
6,6,6,4,8,5,7,7,5,4,4,4,5,5,5,4,7,4,5,5,5,0.409422373
8,8,8,7,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.988323677
9,9,9,9,10,8,7,8,9,7,8,8,9,9,9,8,8,10,8,8,8,0.429442903
8,8,9,9,10,8,8,10,8,8,9,9,9,9,9,9,8,7,8,8,7,0.220680937
9,10,9,9,10,10,9,10,10,10,10,9,9,10,9,10,10,9,9,10,9,0.01134095
8,8,8,7,9,7,7,8,8,7,7,8,7,7,7,7,7,6,8,8,7,0.126819477
7,6,5,7,9,9,8,7,8,8,8,6,8,8,8,9,10,5,7,9,6,0.49450289
8,9,10,10,10,,,,,,,,,,,,,,,,,0.289468033
9,9,10,10,10,10,10,10,9,9,8,9,9,10,10,10,10,9,9,,9,0.101732902
7,5,7,6,10,8,8,7,5,8,7,7,8,8,8,8,9,5,6,8,5,0.80266639
8,7,8,8,10,9,10,10,10,6,8,8,5,7,9,9,8,7,8,9,7,0.712878727
8,8,8,8,9,,,,,,,,,,,,,,,,,0.087665992
8,7,7,7,9,,,,,,,,,,,,,,,,,0.485638266
9,8,9,9,10,9,9,9,9,9,9,9,9,9,9,9,9,8,8,9,8,0.044987109
9,10,9,9,10,7,9,10,9,8,8,8,9,9,10,8,8,10,9,8,10,0.077310373
10,10,10,10,10,10,10,10,10,10,10,10,4,10,10,9,9,8,10,10,8,0.535329515
8,8,7,8,9,8,8,8,8,6,7,8,8,7,7,7,9,6,8,7,6,0.414916174
9,9,9,9,9,,,,,,,,,,,,,,,,,0.760362961
7,8,8,8,10,8,8,8,9,8,8,9,8,8,9,8,9,8,8,8,8,0.817146969
9,8,9,8,9,10,9,9,10,9,9,9,9,8,8,9,9,8,9,9,9,0.169532623
7,7,7,5,10,7,7,7,6,5,6,5,6,7,6,3,7,6,7,7,6,0.465403204
9,9,9,9,10,9,9,10,10,9,9,9,9,9,9,9,9,9,9,9,,0.045006865
8,8,8,9,9,8,8,8,9,6,8,8,7,9,9,9,9,7,8,8,7,0.73678217
9,9,9,10,10,9,9,9,9,9,8,10,9,9,9,8,8,8,9,9,9,0.813910734
8,8,8,7,8,,,,,,,,,,,,,,,,,0.648823171
7,8,7,7,8,7,7,7,7,7,7,7,7,7,7,7,8,7,7,7,7,0.280010686
8,8,9,8,10,9,8,8,8,7,,5,6,8,7,8,10,3,9,8,5,0.905554326
9,8,8,9,9,8,8,8,9,8,8,9,8,9,9,4,8,7,8,9,7,0.236057837
5,5,7,6,9,7,7,7,6,5,5,5,6,6,7,7,6,5,6,6,5,0.752281994
8,8,9,9,10,8,9,9,9,8,8,8,9,8,8,8,9,8,8,8,7,0.872581839
8,8,7,8,3,6,9,9,8,7,7,7,7,9,8,8,6,4,8,9,4,0.054910713
10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,9,10,10,9,0.925480441
9,9,9,8,10,8,9,9,9,8,8,8,8,8,8,8,8,7,9,9,7,0.656062723
8,8,9,9,8,8,8,8,8,9,8,8,9,8,8,9,8,6,8,8,6,0.519806088
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,8,7,7,8,8,0.403884705
8,8,8,8,10,8,10,10,10,8,8,9,5,9,8,8,9,5,8,10,5,0.724694378
8,9,9,7,9,8,8,8,8,8,8,7,8,9,8,8,9,7,8,8,7,0.571105138
7,7,7,6,9,8,8,8,8,8,8,8,5,8,8,7,8,5,6,8,6,0.413217337
10,10,10,10,10,10,10,10,10,7,10,10,10,8,10,10,10,8,10,10,8,0.102851665
6,6,7,7,8,5,7,7,8,7,6,7,4,7,8,8,7,7,7,7,7,0.46410435
6,6,5,7,8,7,7,7,7,5,5,6,5,6,7,6,6,3,5,3,6,0.361744417
8,8,8,7,10,8,9,10,8,6,8,8,7,8,9,8,8,5,8,8,5,0.04363716
10,10,10,10,10,,,,,,,,,,,,,,,,,0.899342854
8,8,8,8,10,8,8,8,8,9,9,9,9,9,9,9,9,7,8,8,7,0.63601143
9,9,9,9,10,9,9,10,10,10,10,9,9,9,9,10,9,9,9,9,9,0.009168739
8,8,9,8,10,8,7,7,8,7,8,8,8,9,8,6,8,7,8,8,8,0.136495163
6,6,8,7,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0.270716686
9,9,9,9,10,8,8,9,9,9,10,9,8,9,9,9,9,8,9,9,5,0.050471684
6,6,6,5,10,5,7,10,10,8,7,6,4,5,9,6,9,7,9,9,6,0.68149571
7,7,8,6,9,8,7,8,7,8,6,7,6,7,8,7,8,8,7,8,8,0.463832094
9,8,9,9,10,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,6,0.938665322
9,9,9,9,10,9,10,10,10,10,8,8,10,10,10,10,10,6,10,10,7,0.878957857
10,10,10,8,10,10,10,10,10,10,10,10,10,10,10,10,10,8,10,10,8,0.300463317
8,8,8,8,10,10,10,10,10,10,10,7,7,9,9,9,,4,10,10,4,0.230541256
6,8,8,8,8,6,6,8,6,5,6,6,4,6,6,6,6,4,7,7,5,0.647564841
6,6,6,6,9,8,7,8,7,7,7,7,6,7,8,7,8,7,7,6,7,0.819390347
9,9,9,8,10,6,6,6,6,5,5,6,8,8,8,6,7,6,7,6,7,0.793350097
6,6,8,9,6,7,8,8,8,6,6,6,6,6,7,6,7,4,6,6,4,0.616566477
6,8,8,7,10,9,9,10,10,8,8,8,9,9,9,8,7,8,8,9,8,0.023993844
9,9,9,9,9,10,8,10,10,10,9,9,10,10,10,10,10,10,10,10,10,0.352022507
10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,10,10,8,0.065721828
10,10,10,10,10,10,,10,10,10,10,10,10,10,10,10,10,9,10,10,10,0.830592098
9,9,9,10,10,8,10,6,9,8,8,8,7,8,9,8,8,9,9,9,9,0.127212451
7,7,8,6,10,6,9,8,8,3,8,8,3,7,7,6,8,4,7,7,5,0.494199049
9,9,9,9,9,,,,,,,,,,,,,,,,,0.59424125
9,9,9,6,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0.433254893
7,7,7,8,9,8,8,8,8,6,7,8,7,8,8,6,9,5,7,7,5,0.79313781
9,9,9,9,10,9,9,10,9,9,9,9,9,9,10,8,9,5,9,9,9,0.32338575
8,8,8,7,10,6,7,7,7,8,8,8,8,8,6,7,8,5,7,8,5,0.375758454
5,5,6,6,7,7,7,6,7,3,3,3,7,3,7,5,7,4,7,6,4,0.88175012
8,8,8,8,8,7,8,8,8,8,7,8,6,8,6,7,8,8,8,8,8,0.39581068
10,10,10,10,10,,,,,,,,,,,,,,,,,0.333846329
10,10,10,9,10,10,10,10,10,10,10,10,9,10,10,10,10,9,10,10,10,0.129801683
7,6,8,7,8,7,7,7,7,6,7,6,6,6,6,6,6,6,6,7,6,0.373696969
9,9,10,10,10,9,10,10,10,9,9,10,8,10,10,10,9,9,10,9,9,0.639820928
8,8,9,8,10,5,10,10,10,10,8,8,9,8,10,10,10,3,8,9,8,0.544712402
8,8,8,7,9,8,9,9,8,8,8,7,7,8,8,8,8,4,6,8,6,0.939927267
9,9,9,10,10,10,10,10,10,10,9,10,10,9,10,10,10,9,10,10,9,0.294442727
10,10,10,10,10,10,10,10,10,5,5,10,8,10,10,10,10,8,10,10,5,0.204591565
8,8,9,8,10,9,9,10,10,10,9,9,9,10,10,10,10,9,10,10,10,0.680281915
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.167347903
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.081624506
10,10,8,10,10,10,10,10,10,10,10,10,10,10,10,8,10,6,10,10,6,0.990266883
9,9,10,9,10,9,9,9,9,9,9,9,10,10,8,9,9,9,9,9,8,0.574490899
9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.400432099
8,8,8,8,10,10,10,10,10,9,9,9,8,9,10,8,10,9,9,9,9,0.06196216
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.243138091
7,7,9,7,9,,,,,,,,,,,,,,,,,0.959607738
7,7,8,6,9,8,8,8,8,8,8,8,8,,8,8,9,8,8,8,8,0.888828836
5,5,5,5,6,,,,,,,,,,,,,,,,,0.196490735
6,6,7,6,8,5,7,6,7,7,7,6,6,6,4,6,6,4,7,5,5,0.769992671
8,8,8,8,8,8,8,8,8,7,7,7,9,,6,8,,8,8,8,7,0.497257071
8,8,8,7,10,9,9,9,9,8,8,9,9,8,9,9,9,7,9,9,9,0.55583823
8,8,8,8,10,8,7,8,7,7,8,8,7,8,7,7,8,7,8,8,7,0.382776052
5,6,5,4,9,,,,,,,,,,,,,,,,,0.534039135
8,8,7,7,9,6,8,8,8,7,8,8,8,7,5,7,7,7,,,7,0.22291319
7,8,8,7,8,7,7,7,7,6,6,6,6,6,7,7,7,6,7,7,6,0.026025939
7,8,6,6,9,7,7,7,8,8,8,8,7,,8,8,8,5,9,6,5,0.878951166
8,8,8,8,9,8,8,9,9,8,8,8,8,8,9,8,8,9,8,8,9,0.365763626
7,7,7,7,8,8,8,8,7,6,7,7,7,8,8,9,8,8,8,8,8,0.618613852
8,8,8,8,10,,,,,,,,,,,,,,,,,0.893953069
8,8,9,9,9,9,8,9,9,9,9,8,9,9,9,9,9,8,9,9,9,0.223468076
8,8,9,8,10,9,9,9,8,5,8,6,8,8,8,7,9,5,9,9,5,0.746407161
8,8,9,8,8,,,,,,,,,,,,,,,,,0.16746586
8,8,8,6,9,8,8,9,8,8,8,8,9,9,9,9,9,7,7,9,8,0.063117765
8,7,8,7,7,,,,,,,,,,,,,,,,,0.239866819
8,9,9,5,10,8,7,8,10,9,7,7,10,8,8,8,10,6,10,10,6,0.933300228
9,9,9,9,10,10,10,10,10,7,9,9,9,6,9,10,10,9,10,10,10,0.101018443
9,9,9,8,10,9,10,10,10,7,10,10,10,9,8,9,10,3,10,10,7,0.182312767
7,8,7,7,9,9,9,9,9,9,9,9,9,8,9,5,9,5,8,5,5,0.381825925
3,1,1,5,7,,,,,,,,,,,,,,,,,0.175755248
8,8,10,8,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0.408590945
7,7,7,7,6,5,7,7,7,7,7,7,7,7,7,7,7,5,6,7,5,0.149953077
9,9,9,9,9,8,9,9,8,8,8,8,8,8,9,8,9,8,9,9,8,0.314754642
7,7,7,6,10,4,6,7,7,6,7,6,5,6,7,7,7,2,7,7,5,0.507811913
9,10,9,9,10,10,10,10,9,10,10,10,9,10,10,9,10,9,9,9,9,0.464498394
8,8,8,7,10,8,8,8,8,6,8,7,8,8,8,8,8,8,8,8,8,0.476563462
8,8,8,8,10,8,8,8,8,8,8,8,8,8,8,7,8,7,8,8,7,0.021388805
9,8,8,8,10,9,9,9,9,8,8,8,,8,9,9,9,5,9,9,6,0.742962649
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.945713832
7,7,8,8,9,7,8,8,8,8,8,8,9,8,8,8,9,6,8,8,6,0.46436229
8,8,8,7,9,7,8,8,8,5,7,6,6,7,6,4,8,5,8,8,5,0.250521739
8,8,8,8,10,8,8,7,7,4,5,7,8,8,8,8,9,8,8,8,8,0.510001399
9,9,9,9,10,9,9,10,10,9,9,9,9,9,9,9,9,9,9,9,9,0.791204567
7,7,7,6,9,,,,,,,,,,,,,,,,,0.208701229
8,8,8,9,10,9,8,9,8,9,9,8,8,9,10,8,9,8,8,9,8,0.259664474
10,10,9,9,9,8,10,10,10,8,8,8,7,9,9,9,9,8,9,9,9,0.671743552
6,7,6,7,6,6,6,7,7,7,6,6,7,6,7,6,6,6,6,6,6,0.099761633
10,10,10,10,10,10,10,10,10,8,9,9,10,10,10,10,10,9,10,10,9,0.378864309
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,9,0.74507052
7,8,8,5,10,,,,,,,,,,,,,,,,,0.432632152
9,9,9,9,9,,,,,,,,,,,,,,,,,0.210906527
8,9,9,9,9,8,8,8,8,8,8,8,9,9,8,8,9,8,8,8,8,0.148877142
7,7,7,7,8,8,8,9,8,8,8,8,8,8,8,8,8,6,8,7,6,0.971445263
9,9,9,9,10,9,10,10,9,9,9,9,9,9,9,9,10,7,9,9,8,0.327090192
7,7,7,7,8,,,,,,,,,,,,,,,,,0.906696926
8,8,8,7,9,7,8,8,7,7,7,7,7,8,8,8,8,7,7,7,7,0.593198037
8,8,6,6,9,9,8,8,8,8,8,8,7,8,8,8,8,8,6,9,9,0.297043323
8,8,8,8,8,8,9,9,8,8,8,8,8,8,8,8,8,9,9,8,9,0.038138137
9,10,10,9,10,10,9,10,10,7,9,8,9,10,9,10,9,7,9,10,9,0.166788988
8,8,8,8,9,8,9,9,8,8,8,9,9,8,8,8,8,8,8,8,8,0.543934763
6,7,7,8,8,9,8,9,8,8,8,9,9,,8,8,8,7,9,9,8,0.128668914
7,6,8,8,10,7,7,7,8,7,7,7,6,7,7,7,8,7,7,7,7,0.862381612
7,7,8,6,10,8,9,9,9,7,7,8,8,8,8,8,8,9,8,8,8,0.58715979
10,10,10,9,10,9,9,9,9,9,9,9,9,9,10,9,9,8,9,9,8,0.231495194
8,7,8,6,8,,7,,7,5,4,5,5,6,7,8,8,2,7,7,7,0.916583769
8,8,8,8,8,10,8,8,10,8,8,8,8,9,10,7,10,10,10,9,10,0.775174539
6,6,6,5,9,5,9,9,7,6,5,6,6,6,7,6,7,6,8,6,6,0.674701242
9,8,8,8,10,10,10,10,10,10,10,10,10,10,10,10,10,8,10,7,7,0.271661833
9,10,9,9,10,9,9,10,9,9,8,9,9,9,9,10,10,8,9,10,9,0.44574669
8,8,8,8,10,8,8,10,8,8,7,8,8,8,8,8,8,6,8,8,6,0.754102354
7,7,9,5,5,,,,,,,,,,,,,,,,,0.450528784
8,6,6,5,9,7,8,8,8,7,6,6,5,7,7,7,7,6,6,7,7,0.554026683
7,7,7,8,9,6,7,8,8,7,7,7,7,6,9,8,8,7,7,7,7,0.853293933
8,8,8,9,9,7,8,7,9,9,9,8,9,9,8,9,8,8,8,8,7,0.885937385
9,9,9,8,10,,,,,,,,,,,,,,,,,0.014155976
8,7,8,8,9,8,9,10,8,8,8,9,9,7,7,9,8,5,8,8,4,0.744796061
8,8,8,7,10,9,9,9,9,8,8,8,8,8,9,9,9,8,9,9,9,0.080927362
9,9,9,9,10,9,9,9,9,9,9,9,9,9,9,7,9,7,9,9,7,0.178169967
9,9,9,10,10,10,9,10,9,10,9,10,9,10,9,9,9,10,9,9,10,0.944585001
4,4,5,10,10,7,7,7,3,6,7,,7,5,7,7,8,2,5,5,3,0.555327114
8,8,10,8,10,8,10,9,8,7,9,9,7,7,9,7,8,9,10,10,8,0.48022206
9,9,9,9,10,9,10,10,9,9,9,9,5,9,9,9,9,8,8,8,9,0.264136224
9,8,9,8,9,9,9,9,9,4,5,5,9,4,9,9,9,4,9,9,4,0.491177832
8,8,8,8,10,7,7,7,7,8,8,9,7,8,8,8,8,5,8,8,5,0.949534754
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.37896275
8,8,8,9,10,9,10,10,10,9,10,10,10,10,10,8,9,9,9,9,8,0.313945191
7,7,7,7,7,7,7,7,7,6,6,6,6,7,6,6,7,4,7,7,5,0.429948679
8,8,8,10,9,,,,,,,,,,,,,,,,,0.489173917
8,8,8,7,10,8,8,8,8,8,8,8,7,8,8,8,9,7,8,8,7,0.69346492
9,10,10,9,10,10,9,10,10,10,10,9,6,9,9,10,10,9,10,10,9,0.40587136
9,9,8,10,10,9,10,10,9,9,9,10,10,10,10,9,9,8,9,9,9,0.706553246
7,7,7,7,8,10,7,8,8,8,8,7,7,7,7,7,7,3,8,8,3,0.615825015
8,8,8,8,10,7,8,8,9,9,9,9,9,9,9,9,9,7,8,8,6,0.902207298
10,10,10,10,10,,,,,,,,,,,,,,,,,0.626337534
6,6,6,3,9,8,3,6,6,7,3,2,1,6,3,6,6,5,6,6,7,0.463485378
10,10,10,10,10,7,10,10,10,9,7,9,10,10,10,10,8,7,10,10,7,0.890346546
7,7,7,5,7,7,7,7,,5,6,6,,6,3,4,10,5,6,7,6,0.179750774
7,7,7,7,10,7,8,8,6,6,6,6,6,8,7,7,8,6,6,6,5,0.073893386
4,1,1,1,10,,,,,,,,,,,,,,,,,0.944562278
8,8,9,9,10,10,10,10,9,9,10,10,10,10,10,10,10,10,10,9,10,0.660647607
7,7,7,7,9,8,9,9,9,9,8,8,9,9,9,9,9,7,9,9,8,0.003113311
8,8,8,8,10,,,,,,,,,,,,,,,,,0.471180267
9,9,9,8,10,,,,,,,,,,,,,,,,,0.720943148
9,9,9,7,10,7,9,9,10,5,7,8,9,9,3,8,9,7,9,9,7,0.785693295
6,6,8,5,10,6,5,7,8,8,6,6,7,6,8,5,8,6,8,8,5,0.419675668
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,10,10,5,0.961471028
8,8,9,8,10,8,8,9,8,8,8,8,8,8,8,8,8,8,8,8,9,0.754372733
8,9,9,9,9,,,,,,,,,,,,,,,,,0.722865461
8,8,8,8,7,5,9,9,9,6,6,6,7,8,9,9,8,7,8,8,7,0.826622129
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.011021584
10,10,10,6,10,9,9,8,10,9,10,9,9,9,9,9,10,9,9,9,9,0.715319636
8,9,,,10,6,10,10,9,8,9,9,9,9,9,9,9,3,5,9,3,0.171678627
7,7,7,7,9,5,7,9,5,7,5,6,7,6,7,9,8,7,7,7,7,0.798974304
9,9,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.573600797
9,9,9,9,10,,,,,,,,,,,,,,,,,0.731528706
7,7,7,7,10,7,10,10,10,10,10,10,9,8,8,6,9,6,7,7,8,0.580475828
8,8,8,8,9,8,9,9,8,8,8,8,8,8,8,8,8,6,8,8,6,0.536494404
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,10,10,9,0.75359615
7,4,,4,9,,,,,,,,,,,,,,,,,0.617538783
8,9,9,9,10,,,,,,,,,,,,,,,,,0.953095623
8,8,8,9,10,8,6,8,8,7,6,8,7,9,8,7,9,6,7,7,6,0.786206044
9,8,8,8,9,8,8,8,8,8,8,8,8,8,6,8,8,6,8,8,7,0.124209345
6,7,8,5,9,6,9,9,8,8,7,6,5,7,6,5,8,6,5,6,7,0.035897928
7,7,7,5,8,9,9,8,8,5,7,7,7,7,4,8,8,7,7,7,7,0.520783363
8,8,8,7,10,8,8,8,8,8,8,8,8,5,8,6,8,6,7,7,6,0.53083526
9,9,8,8,10,7,8,8,8,7,7,7,7,7,8,8,8,6,8,9,7,0.900060665
8,8,5,5,6,8,9,7,9,9,9,9,9,9,9,8,9,8,7,9,8,0.816879794
7,8,9,8,10,8,10,10,10,8,10,10,8,10,8,10,10,8,10,10,8,0.080013882
8,8,8,8,8,8,8,8,8,6,8,8,8,8,8,8,9,6,8,8,6,0.734853425
8,8,8,8,10,,,,,,,,,,,,,,,,,0.32634034
7,7,8,8,9,9,9,8,8,8,8,8,6,9,9,6,8,9,9,9,9,0.516633702
7,7,8,7,9,8,8,8,8,8,8,8,8,8,8,6,8,7,8,8,7,0.651829067
9,8,9,6,10,8,8,9,10,7,8,7,9,9,8,8,9,5,,9,6,0.661370952
8,9,8,8,8,,,,,,,,,,,,,,,,,0.190467656
7,7,7,3,8,,,,,,,,,,,,,,,,,0.61674434
8,8,8,8,10,8,8,8,9,8,8,8,8,8,8,8,8,8,9,8,8,0.753579612
8,8,8,8,8,8,10,10,6,8,8,8,8,8,10,8,8,5,6,6,,0.877211885
8,8,8,7,10,7,8,8,7,7,7,7,6,7,7,7,8,7,7,7,7,0.528760406
10,10,10,10,10,10,10,10,10,9,10,9,10,8,10,9,9,9,10,10,10,0.421351161
7,7,7,7,10,8,8,8,8,8,7,8,8,6,9,8,8,5,8,8,8,0.480603167
5,5,5,5,7,,,,,,,,,,,,,,,,,0.142975378
8,7,8,6,10,8,9,9,8,8,8,8,7,8,7,8,8,8,8,8,9,0.628566562
8,8,9,7,10,,,,,,,,,,,,,,,,,0.581082785
7,7,7,7,9,8,6,8,8,6,6,7,6,7,8,8,7,4,7,6,4,0.75678522
9,9,9,9,10,9,9,9,9,9,9,9,8,8,9,9,9,9,9,9,8,0.152020868
9,9,9,9,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0.504478822
7,7,7,7,9,7,8,8,8,8,8,8,8,8,7,7,6,4,6,8,4,0.726303422
8,9,10,8,10,6,8,8,8,6,7,7,6,8,9,9,9,5,8,9,5,0.744073594
8,8,9,8,10,8,8,9,7,8,8,8,9,9,9,9,10,7,8,9,7,0.507389513
8,8,9,8,9,8,9,9,10,8,7,7,6,7,8,8,10,7,9,8,8,0.185474543
6,6,8,6,9,7,8,8,8,7,5,5,8,7,8,8,8,4,8,8,5,0.656388265
8,9,8,9,10,9,10,8,10,7,8,9,10,10,9,5,8,7,9,9,6,0.73127676
7,6,8,7,8,7,8,6,6,5,5,6,5,5,6,6,7,6,8,8,5,0.157003057
10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.441847579
9,9,9,9,9,,,,,,,,,,,,,,,,,0.611306543
8,8,9,8,10,8,8,9,10,8,8,7,6,8,9,8,8,8,8,7,8,0.936403314
10,10,10,9,10,9,10,10,9,9,10,10,10,10,10,10,9,9,9,9,5,0.71893353
8,8,8,9,10,9,8,9,9,6,7,7,9,9,9,8,9,6,8,8,7,0.060089236
7,7,7,7,9,6,6,7,6,7,6,6,6,6,6,5,6,4,7,6,4,0.702385024
9,9,9,9,10,,,,,,,,,,,,,,,,,0.114566283
9,9,9,7,9,9,9,9,9,9,9,9,8,8,8,8,8,7,8,8,7,0.298269592
9,10,10,10,10,9,9,10,10,9,10,10,10,10,9,10,10,6,10,10,9,0.552200353
7,7,7,8,8,7,7,7,7,4,7,6,8,8,8,7,8,5,7,7,7,0.628717519
7,7,8,7,9,9,10,8,8,8,8,8,9,6,9,8,7,8,9,9,9,0.452056388
10,10,10,6,10,6,10,10,10,6,10,9,6,8,10,10,10,10,10,10,10,0.537719489
7,7,7,8,8,7,9,9,8,8,7,8,7,8,8,8,9,8,8,8,7,0.280315711
9,9,9,8,10,10,10,9,10,10,10,,9,10,8,7,9,9,10,10,9,0.559152967
9,9,9,8,10,,,,,,,,,,,,,,,,,0.749160013
7,7,8,8,10,8,9,8,8,7,7,6,7,8,7,5,9,,9,9,7,0.397545356
6,6,7,7,10,6,7,7,7,7,6,6,8,8,7,8,8,5,8,8,5,0.648125499
8,8,8,8,10,8,9,9,9,9,9,8,9,9,9,7,8,8,8,8,8,0.095903913
7,7,7,7,9,6,7,8,7,7,7,7,8,8,8,8,8,4,7,6,6,0.108389493
9,9,9,7,10,10,10,10,8,9,10,9,10,7,9,5,8,7,8,9,6,0.476890816
9,9,10,10,10,9,10,10,10,10,6,8,9,10,8,9,10,10,9,9,9,0.167481449
7,8,8,6,10,,,,,,,,,,,,,,,,,0.410517912
7,7,7,7,1,7,8,8,9,7,7,8,7,8,7,8,8,6,7,7,6,0.513892407
8,8,10,10,10,8,9,9,9,8,7,8,5,8,8,9,10,9,9,8,9,0.374467508
8,8,8,8,9,,,,,,,,,,,,,,,,,0.484778829
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,10,10,6,0.584267622
8,10,10,10,10,10,10,10,10,8,8,8,8,10,10,10,8,8,10,10,,0.435104743
8,8,8,7,9,7,8,8,8,7,8,8,7,7,7,7,7,7,7,7,7,0.906932983
7,7,7,6,7,7,7,7,7,7,7,7,7,7,5,7,7,6,7,7,7,0.360288809
6,6,6,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0.776129592
9,9,9,8,10,9,9,9,9,8,8,8,8,8,8,7,9,9,9,9,9,0.77444721
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.84485838
9,9,9,9,10,10,10,10,10,10,10,9,8,9,10,10,10,10,10,10,10,0.205969523
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.30638091
9,9,9,9,10,9,9,9,9,8,9,8,9,10,9,7,9,7,9,9,9,0.203934744
7,8,8,10,10,9,9,9,9,7,8,7,8,8,8,8,8,9,9,9,9,0.806863858
9,8,9,8,10,9,9,9,9,9,9,9,9,7,9,9,9,10,9,9,10,0.009590622
8,8,9,8,10,8,8,9,8,8,7,8,8,8,7,8,8,8,8,8,8,0.719949582
9,9,9,9,10,9,10,10,9,9,9,9,9,9,10,9,9,8,9,8,8,0.658030052
8,8,9,8,10,9,10,9,9,8,8,7,7,9,10,9,8,6,7,9,8,0.318321245
9,8,8,8,10,8,9,9,8,7,5,8,8,8,8,8,8,8,8,8,7,0.295054374
8,8,8,8,10,8,8,8,8,7,8,8,8,8,8,7,8,6,8,7,7,0.574251954
10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,9,10,9,10,10,9,0.721960729
7,7,7,6,9,9,9,9,8,6,7,7,8,8,8,8,7,9,9,9,9,0.793834503
8,9,7,7,7,3,7,7,6,7,6,7,7,6,5,7,6,3,6,6,4,0.37363315
8,8,8,7,10,8,9,9,7,7,7,7,7,7,8,8,9,7,8,8,7,0.300272974
9,9,9,9,10,9,8,9,9,8,8,8,9,8,9,9,9,10,9,8,10,0.331718402
7,7,7,6,10,6,6,5,8,6,6,6,6,6,6,,6,3,6,6,6,0.098407589
7,7,7,7,9,6,7,7,7,7,7,7,8,8,8,8,7,7,7,7,5,0.689473419
9,9,9,9,9,9,10,10,10,10,9,9,,9,9,8,9,9,9,9,9,0.753817116
8,9,9,9,9,9,9,8,9,8,8,8,7,7,8,7,9,7,9,9,6,0.062205022
9,9,10,10,10,,,,,,,,,,,,,,,,,0.961137725
9,8,8,8,8,8,8,8,8,7,8,8,8,8,7,8,8,8,9,8,8,0.472282264
10,10,10,10,10,9,10,10,10,10,10,10,9,9,8,9,10,8,9,9,9,0.246584474
