Overall Satisfaction,Attribute 00,Attribute 01,Attribute 02,Attribute 03,Attribute 04,Attribute 05,Attribute 06,Attribute 07,Attribute 08,Attribute 09,Attribute 10,Attribute 11,Attribute 12,Attribute 13,Attribute 14,Attribute 15,Attribute 16,Attribute 17,Attribute 18,Attribute 19,Weight
8,8,8,9,9,9,8,10,10,10,7,7,6,10,10,9,9,7,9,8,8,0.906865029
6,6,7,7,8,7,7,7,7,8,7,5,5,7,7,6,7,5,6,3,6,0.267299531
7,7,8,8,2,8,9,9,9,7,7,7,8,8,9,4,8,7,8,8,8,0.309893429
7,6,7,8,9,8,8,8,9,6,9,8,8,9,9,9,9,9,9,9,8,0.361833966
7,7,7,7,9,7,7,8,7,7,7,7,7,7,7,7,7,7,7,7,7,0.679155648
9,10,10,10,10,9,9,10,9,9,9,9,9,9,9,9,9,9,9,9,9,0.230757364
9,9,9,9,10,,,,,,,,,,,,,,,,,0.960367087
7,7,8,8,9,8,8,8,8,8,8,8,8,8,8,8,8,6,8,8,6,0.306582381
8,8,8,8,10,8,9,9,8,7,8,8,8,8,6,8,8,5,8,8,6,0.285184727
7,8,7,7,9,8,7,8,8,5,6,7,7,8,8,5,8,7,8,8,7,0.422855899
8,8,7,7,9,8,9,9,8,7,8,7,7,8,8,7,7,6,7,7,7,0.218464674
7,7,,7,9,7,7,7,7,6,6,7,5,,5,7,7,5,7,7,6,0.952197221
10,10,10,10,10,10,10,10,10,10,10,9,9,10,10,10,10,10,10,10,10,0.085464942
6,6,6,5,6,6,6,6,5,5,6,5,6,6,6,6,6,4,6,6,5,0.696461467
8,8,8,8,9,8,9,8,8,8,8,8,7,8,8,9,7,6,8,8,6,0.098058419
7,7,5,7,9,8,8,10,8,6,7,7,7,8,8,8,9,6,8,8,6,0.33769669
9,9,9,9,9,,,,,,,,,,,,,,,,,0.579392175
8,8,8,8,10,,,,,,,,,,,,,,,,,0.594927625
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0.454435643
8,8,8,8,10,8,8,8,6,6,8,8,8,8,6,8,8,4,8,6,7,0.09007791
9,9,9,9,10,10,10,10,9,10,10,10,10,10,10,9,9,9,9,9,9,0.88020043
8,8,8,7,10,7,7,8,8,8,8,8,7,7,7,8,8,7,8,6,7,0.544206353
9,10,10,10,10,9,9,10,10,10,10,10,9,10,10,10,10,8,10,10,8,0.193878415
10,10,10,10,9,9,9,10,10,9,10,8,5,7,10,10,10,7,8,10,8,0.604106609
9,8,9,8,10,7,9,9,7,4,7,7,8,6,7,7,7,8,8,8,8,0.774566112
8,8,8,8,9,8,8,9,9,9,9,9,8,9,9,9,9,7,9,8,7,0.437987922
8,8,8,7,9,8,8,8,7,4,7,6,6,7,7,8,8,1,7,6,5,0.992839122
8,8,8,6,9,,,,,,,,,,,,,,,,,0.124046652
7,7,7,7,8,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,5,0.121537046
7,7,7,6,9,,,,,,,,,,,,,,,,,0.683923799
8,8,8,7,9,,,,,,,,,,,,,,,,,0.569208988
9,9,9,8,10,,,,,,,,,,,,,,,,,0.433530306
9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,8,10,10,8,0.737500439
7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,7,5,7,7,5,0.809255486
5,5,5,5,5,5,5,5,5,6,6,6,6,6,5,5,6,4,6,5,5,0.67762366
5,6,7,5,8,8,7,8,8,5,6,6,7,7,6,5,9,7,7,7,7,0.896484836
8,8,7,6,10,7,8,8,8,7,7,7,8,8,8,8,8,7,7,7,7,0.203674808
8,8,8,8,9,8,9,9,8,8,8,8,8,8,8,8,8,4,8,8,8,0.783933707
7,7,8,5,9,9,9,10,8,7,7,6,6,9,6,6,9,5,8,9,4,0.33743417
7,6,7,7,10,7,8,8,8,7,7,7,7,7,7,7,6,7,7,7,7,0.030313245
8,7,7,7,8,5,8,8,8,6,7,7,7,8,7,7,7,6,7,7,6,0.925587706
8,9,8,8,10,8,10,10,10,9,8,9,8,10,8,7,9,5,9,6,5,0.158350003
8,8,8,8,8,,,,,,,,,,,,,,,,,0.590078653
8,7,9,8,10,8,8,6,7,6,6,6,7,6,8,6,8,4,8,8,4,0.161664473
9,9,9,9,9,,,,,,,,,,,,,,,,,0.682685559
1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,2,2,0.661507345
8,8,,6,9,8,8,7,6,6,6,6,7,5,7,5,8,5,6,9,5,0.829982837
8,8,8,7,9,8,9,8,7,6,6,7,6,8,8,8,8,7,9,7,7,0.854124781
7,7,9,9,10,7,10,8,7,4,5,5,7,6,7,8,8,7,8,8,8,0.292375732
5,5,5,5,9,5,7,7,7,4,7,7,5,5,5,5,7,4,5,5,4,0.916522536
4,5,5,6,5,8,7,9,8,6,6,7,8,8,6,6,7,7,8,9,9,0.242807577
6,6,7,4,9,6,7,8,7,6,5,6,7,7,6,6,7,7,6,6,6,0.873888604
7,7,7,7,9,9,9,9,9,9,9,9,9,9,9,9,10,8,9,9,9,0.50395068
9,9,9,8,10,8,9,9,10,8,8,9,8,7,8,7,8,7,8,8,7,0.080294099
8,8,8,8,9,9,9,9,9,6,8,9,8,9,8,7,8,7,8,9,7,0.25120163
6,7,7,6,9,8,8,8,8,5,7,6,7,7,8,5,7,6,8,8,6,0.816886133
8,8,8,8,8,8,8,8,8,5,8,7,7,8,8,8,8,7,8,8,8,0.237070303
4,5,5,6,9,3,5,8,9,5,6,6,4,5,8,3,5,2,3,4,4,0.340559709
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0.095521156
6,7,7,6,9,,,,,,,,,,,,,,,,,0.107505663
9,9,10,8,10,10,10,10,10,10,10,9,9,9,10,10,10,10,10,10,10,0.367306486
